71	10000	1	2	100
72	10000	2	2	110
73	10000	3	1	120
74	10000	4	1	130
75	10000	5	2	120
76	10000	6	2	130
77	10000	7	1	140
78	10000	8	1	150
79	10000	9	2	140
80	10000	10	2	150
81	10000	11	1	90
82	10000	12	1	100
83	10000	13	2	120
84	10000	14	2	130
85	10000	15	1	100
86	10000	16	1	110
87	10000	17	2	140
88	10000	18	2	150
89	10000	19	1	120
90	10000	20	1	130
91	10000	21	1	100
92	10000	22	1	110
93	10000	23	2	125
94	10000	24	2	135
95	10000	25	1	120
96	10000	26	1	130
97	10000	27	2	145
98	10000	28	2	155
99	10000	29	1	135
100	10000	30	1	140
101	10000	31	1	100
102	10000	32	1	110
103	10000	33	2	125
104	10000	34	2	135
105	10000	35	1	120
106	10000	36	1	130
107	10000	37	2	145
108	10000	38	2	155
109	10000	39	1	135
110	10000	40	1	140
