Numero rota  Capacidade  Coluna desnecessaria  Pier   Distancia
41		10000		1		2	200
42		10000		2		2	200
43		10000		3		1	150
44		10000		4		1	150
45		10000		5		2	200
46		10000		6		2	200
47		10000		7		1	150
48		10000		8		1	150
49		10000		9		2	200
50		10000		10		2	200
51		10000		11		1	150
52		10000		12		1	150
53		10000		13		2	200
54		10000		14		2	200
55		10000		15		1	150
56		10000		16		1	150
57		10000		17		2	200
58		10000		18		2	200
59		10000		19		1	150
60		10000		20		1	150
61		10000		31		1	150
62		10000		32		1	150
63		10000		33		2	200
64		10000		34		2	200
65		10000		35		1	150
66		10000		36		1	150
67		10000		37		2	200
68		10000		38		2	200
69		10000		39		1	150
70		10000		40		1	150
