Nome da rota Capacidade 	Qual baliza (sub area) sera estocado o produto	 Distancia da rota
1		10000			1						200
2		10000			2						195
3		10000			3						190
4		10000			4						185
5		10000			5						180
6		10000			6						175
7		10000			7						170
8		10000			8						165
9		10000			9						160
10		10000			10						155
11		10000			11						140
12		10000			12						135
13		10000			13						130
14		10000			14						125
15		10000			15						120
16		10000			16						115
17		10000			17						110
18		10000			18						105
19		10000			19						100
20		10000			20						95
21		10000			21						80
22		10000			22						75
23		10000			23						70
24		10000			24						65
25		10000			25						60
26		10000			26						55
27		10000			27						50
28		10000			28						45
29		10000			29						40
30		10000			30						35
31		10000			31						205
32		10000			32						210
33		10000			33						220
34		10000			34						230
35		10000			35						240
36		10000			36						245
37		10000			37						250
38		10000			38						255
39		10000			39						260
40		10000			40						265
