data;
set N := 1 2 3 4 5 6 7 8 9 10;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35;
set K := Alumina Bauxita Manganes Ferro;
set L := 1 2 3 4;
param v :=
1 5
2 4
3 6
4 4;
param a :=
1 1
2 1
3 3
4 5
5 5
6 6
7 6
8 8
9 9
10 9;
param d :=
1 24
2 26
3 22
4 34
5 30
6 32
7 33
8 21
9 29
10 28;
param h :=
1 4
2 3
3 4
4 4
5 2
6 2
7 4
8 2
9 3
10 2;
param t :=
1 5
2 5
3 6
4 5
5 4
6 4
7 5
8 3
9 4
10 3;
param e :=
Bauxita 60
Alumina 54
Manganes 57
Ferro 59;
param ck :=
Bauxita 3
Alumina 2
Manganes 2
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	0	3	0	0
2	0	5	0	0
3	22	0	0	0
4	0	20	0	0
5	0	0	3	0
6	0	0	0	8
7	0	0	14	0
8	11	0	0	0
9	19	0	0	0
10	0	0	0	7;
end;
