data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50;
set K := Alumina Bauxita Manganes Ferro;
set L := 1 2;
param v :=
1 5
2 4;
param a :=
1 1
2 1
3 3
4 3
5 5
6 7
7 7
8 8
9 8
10 10
11 11
12 11
13 12
14 12
15 14;
param d :=
1 34
2 30
3 32
4 33
5 21
6 29
7 28
8 28
9 21
10 34
11 25
12 35
13 20
14 22
15 20;
param h :=
1 3
2 2
3 2
4 4
5 4
6 2
7 3
8 2
9 3
10 2
11 4
12 3
13 4
14 4
15 2;
param t :=
1 4
2 4
3 3
4 5
5 5
6 4
7 5
8 4
9 5
10 4
11 5
12 4
13 6
14 5
15 3;
param e :=
Bauxita 54
Alumina 54
Manganes 51
Ferro 52;
param ck :=
Bauxita 2
Alumina 3
Manganes 2
Ferro 3;
param q : Bauxita Alumina Manganes Ferro :=
1	0	0	3	0
2	0	0	0	22
3	5	0	0	0
4	0	0	19	0
5	15	0	0	0
6	0	38	0	0
7	0	0	0	28
8	0	5	0	0
9	0	32	0	0
10	0	0	0	24
11	0	31	0	0
12	20	0	0	0
13	0	0	0	35
14	0	0	35	0
15	19	0	0	0;
end;
