data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70;
set K := Alumina Bauxita Manganes Ferro;
param a :=
1 1
2 2
3 2
4 2
5 4
6 4
7 5
8 6
9 8
10 8
11 8
12 9
13 9
14 10
15 12
16 12
17 14
18 14
19 15
20 15;
param d :=
1 25
2 26
3 24
4 23
5 24
6 27
7 35
8 40
9 28
10 33
11 32
12 32
13 20
14 34
15 39
16 31
17 38
18 30
19 33
20 39;
param h :=
1 3
2 4
3 2
4 4
5 3
6 4
7 2
8 3
9 3
10 4
11 3
12 3
13 2
14 3
15 3
16 4
17 4
18 4
19 3
20 2;
param t :=
1 5
2 6
3 3
4 6
5 5
6 6
7 4
8 5
9 4
10 5
11 4
12 5
13 4
14 4
15 4
16 5
17 5
18 6
19 5
20 3;
param e :=
Bauxita 41
Alumina 48
Manganes 46
Ferro 45;
param ck :=
Bauxita 1
Alumina 3
Manganes 1
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	0	35	0	0
2	0	0	0	24
3	0	0	1	0
4	14	0	0	0
5	2	0	0	0
6	9	0	0	0
7	0	0	3	0
8	0	0	6	0
9	0	39	0	0
10	9	0	0	0
11	0	40	0	0
12	1	0	0	0
13	0	33	0	0
14	0	0	5	0
15	0	0	0	20
16	0	0	0	29
17	0	0	19	0
18	0	0	0	32
19	1	0	0	0
20	0	28	0	0;
end;
