data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70;
set K := Alumina Bauxita Manganes Ferro;
param a :=
1 1
2 1
3 1
4 3
5 4
6 6
7 6
8 8
9 9
10 9
11 10
12 12
13 13
14 14
15 14
16 15
17 15
18 16
19 18
20 20;
param d :=
1 23
2 40
3 31
4 23
5 34
6 27
7 30
8 36
9 38
10 21
11 31
12 26
13 33
14 23
15 22
16 35
17 31
18 38
19 29
20 36;
param h :=
1 3
2 3
3 3
4 4
5 2
6 4
7 4
8 2
9 3
10 4
11 2
12 3
13 4
14 2
15 3
16 3
17 3
18 2
19 4
20 2;
param t :=
1 5
2 4
3 5
4 6
5 3
6 5
7 6
8 3
9 5
10 6
11 4
12 5
13 6
14 4
15 5
16 5
17 5
18 3
19 5
20 3;
param e :=
Bauxita 50
Alumina 46
Manganes 50
Ferro 50;
param ck :=
Bauxita 3
Alumina 3
Manganes 2
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	27	0	0	0
2	0	0	23	0
3	26	0	0	0
4	0	32	0	0
5	0	0	17	0
6	0	33	0	0
7	66	0	0	0
8	0	0	9	0
9	54	0	0	0
10	0	37	0	0
11	0	18	0	0
12	0	0	22	0
13	0	0	0	35
14	0	0	0	12
15	0	0	20	0
16	0	0	0	23
17	0	0	0	31
18	0	0	11	0
19	0	37	0	0
20	0	21	0	0;
end;
