data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95;
set K := Alumina Bauxita Manganes Ferro;
param a :=
1 1
2 1
3 1
4 3
5 4
6 6
7 6
8 8
9 9
10 9
11 10
12 12
13 13
14 14
15 14
16 15
17 15
18 16
19 18
20 20
21 20
22 22
23 24
24 24
25 26
26 27
27 28
28 29
29 29
30 30;
param d :=
1 31
2 26
3 33
4 23
5 22
6 35
7 31
8 38
9 29
10 36
11 36
12 36
13 39
14 25
15 26
16 22
17 22
18 23
19 39
20 25
21 29
22 21
23 22
24 20
25 24
26 36
27 27
28 32
29 31
30 23;
param h :=
1 4
2 4
3 2
4 2
5 4
6 3
7 3
8 2
9 3
10 4
11 4
12 2
13 4
14 3
15 3
16 4
17 2
18 3
19 3
20 4
21 2
22 3
23 2
24 2
25 4
26 4
27 3
28 3
29 3
30 3;
param t :=
1 5
2 6
3 4
4 4
5 5
6 4
7 5
8 3
9 4
10 6
11 6
12 4
13 5
14 4
15 4
16 6
17 3
18 5
19 5
20 5
21 3
22 4
23 3
24 4
25 5
26 6
27 4
28 5
29 5
30 4;
param e :=
Bauxita 50
Alumina 50
Manganes 46
Ferro 48;
param ck :=
Bauxita 1
Alumina 1
Manganes 3
Ferro 3;
param q : Bauxita Alumina Manganes Ferro :=
1	0	8	0	0
2	0	0	0	85
3	0	0	17	0
4	0	0	0	31
5	16	0	0	0
6	10	0	0	0
7	0	1	0	0
8	1	0	0	0
9	0	7	0	0
10	19	0	0	0
11	0	0	35	0
12	1	0	0	0
13	0	13	0	0
14	0	0	30	0
15	4	0	0	0
16	0	0	37	0
17	0	0	17	0
18	0	6	0	0
19	0	0	31	0
20	0	0	34	0
21	1	0	0	0
22	0	7	0	0
23	0	0	0	62
24	1	0	0	0
25	11	0	0	0
26	0	15	0	0
27	0	0	25	0
28	0	0	0	72
29	0	0	28	0
30	4	0	0	0;
end;
