/*********************************************
 * OPL 12.2 Data
 * Author: usuario
 * Creation Date: 06/10/2011 at 09:34:43
 *********************************************/

Navios = {1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30};
Mares = {1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75};
Cargas = {Bauxita Alumina Manganes Ferro};
Bercos = {1 2 3};

vazao = [5 7 6];
chegada = [1 3 3 5 7 7 8 8 10 11 11 12 12 14 16 17 17 18 19 19 21 23 24 26 28 28 28 30 30 31];
estoque = [25 34 44 23];
consumo = [2 3 3 2];
carregamento = [
[29	0	0	0]
[11	0	0	0]
[0	19	0	0]
[0	0	24	0]
[15	0	0	0]
[0	28	0	0]
[0	0	28	0]
[0	31	0	0]
[0	0	0	19]
[0	0	0	23]
[0	0	27	0]
[0	0	21	0]
[0	0	0	18]
[12	0	0	0]
[0	29	0	0]
[0	18	0	0]
[0	0	0	12]
[0	0	0	25]
[20	0	0	0]
[0	0	34	0]
[0	12	0	0]
[0	0	29	0]
[16	0	0	0]
[0	19	0	0]
[24	0	0	0]
[0	0	0	17]
[0	13	0	0]
[0	0	20	0]
[0	24	0	0]
[0	0	0	15]
];
