/*********************************************
 * OPL 12.2 Data
 * Author: usuario
 * Creation Date: 14/09/2011 at 01:27:57
 *********************************************/

Navios = {1 2 3 4 5 6 7 8 9 10 11 12 13 14 15};
Mares = {1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35};
Cargas = {Bauxita Alumina Manganes Ferro};
Bercos = {1 2 3};

vazao = [5 4 6];
chegada = [1 3 3 5 7 7 8 8 10 11 11 12 13 14 16];
estoque = [35 31 25 30];
consumo = [4 3 2 3];
carregamento = [
[24	0	0	0]
[0	0	7	0]
[40	0	0	0]
[0	11	0	0]
[0	0	0	9]
[0	18	0	0]
[0	13	0	0]
[0	0	0	18]
[0	32	0	0]
[14	0	0	0]
[0	0	0	21]
[0	0	11	0]
[28	0	0	0]
[0	0	0	27]
[0	0	27	0]
];
