data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80;
set K := Alumina Bauxita Manganes Ferro;
set L := 1 2;
param Mares := 80;
param v :=
1 5
2 7;
param d :=
1 500
2 1000
3 500
4 1000
5 500
6 1000
7 500
8 1000
9 500
10 1000
11 500
12 1000
13 500
14 1000
15 500
16 1000
17 500
18 1000
19 500
20 1000
21 500
22 1000
23 500
24 1000
25 500
26 1000
27 500
28 1000
29 500
30 1000;
param a :=
1 1
2 1
3 3
4 3
5 5
6 7
7 7
8 8
9 8
10 10
11 11
12 11
13 12
14 12
15 14
16 16
17 17
18 17
19 18
20 19
21 19
22 21
23 23
24 24
25 26
26 28
27 28
28 28
29 30
30 30;
param e :=
Bauxita 30
Alumina 39
Manganes 61
Ferro 21;
param ck :=
Bauxita 2
Alumina 3
Manganes 4
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	0	0	37	0
2	41	0	0	0
3	0	16	0	0
4	22	0	0	0
5	0	0	42	0
6	0	0	33	0
7	13	0	0	0
8	0	45	0	0
9	0	0	23	0
10	0	22	0	0
11	0	0	0	25
12	0	0	0	27
13	0	0	34	0
14	0	0	33	0
15	0	0	0	19
16	20	0	0	0
17	0	39	0	0
18	0	20	0	0
19	0	0	0	21
20	0	0	0	24
21	15	0	0	0
22	0	24	0	0
23	0	18	0	0
24	0	0	33	0
25	15	0	0	0
26	0	23	0	0
27	28	0	0	0
28	0	0	0	25
29	0	17	0	0
30	0	0	46	0;
end;
