data;
set N := 1 2 3 4 5 6 7 8 9 10;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set K := Alumina Bauxita Manganes Ferro;
set L := 1 2 3;
param Mares := 15;
param v :=
1 3
2 4
3 2;
param d :=
1 1
2 1
3 1
4 1
5 1
6 5
7 5
8 5
9 5
10 5;
param a :=
1 1
2 1
3 3
4 5
5 5
6 6
7 8
8 10
9 10	
10 11;
param e :=
Bauxita 22
Alumina 24
Manganes 19
Ferro 20;
param ck :=
Bauxita 3
Alumina 3
Manganes 2
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	4	0	0	0
2	7	0	0	0
3	2	0	0	0
4	0	12	0	0
5	3	0	0	0
6	0	19	0	0
7	0	0	3	0
8	0	0	0	17
9	0	0	12	0
10	7	0	0	0;
end;
