data;
set N := 1 2 3 4 5 6 7 8 9 10;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;
set K := Bauxita Alumina Manganes Ferro;
set L := 1 2;
param Mares := 25;
param v :=
1 5
2 4;
param d :=
1 1
2 1
3 1
4 1
5 1
6 5
7 5
8 5
9 5
10 5;
param a :=
1 1
2 1
3 3
4 3
5 5
6 6
7 6
8 8
9 8
10 10;
param e :=
Bauxita 41
Alumina 30
Manganes 40
Ferro 34;
param ck :=
Bauxita 3
Alumina 2
Manganes 3
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	10	0	0	0
2	0	7	0	0
3	0	9	0	0
4	0	0	0	5
5	13	0	0	0
6	12	0	0	0
7	0	5	0	0
8	0	0	21	0
9	0	0	0	11
10	0	0	14	0;
end;
