data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25;
set K := Alumina Bauxita Manganes Ferro;
set L := 1 2 3;
param Mares := 25;
param v :=
1 5
2 4
3 6;
param d :=
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 5
10 5
11 5
12 5
13 5
14 5
15 5;
param a :=
1 1
2 3
3 3
4 5
5 7
6 7
7 8
8 8
9 10
10 11
11 11
12 12
13 12
14 14
15 16;
param e :=
Bauxita 35
Alumina 21
Manganes 12
Ferro 20;
param ck :=
Bauxita 4
Alumina 3
Manganes 2
Ferro 3;
param q : Bauxita Alumina Manganes Ferro :=
1	20	0	0	0
2	0	0	14	0
3	16	0	0	0
4	0	12	0	0
5	0	0	0	13
6	0	18	0	0
7	0	13	0	0
8	0	0	0	9
9	0	12	0	0
10	14	0	0	0
11	0	0	0	11
12	0	0	15	0
13	25	0	0	0
14	0	0	0	23
15	0	0	9	0;
end;
