data;
set N := 1 2 3 4 5 6 7 8 9 10;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
set K := Alumina Bauxita Manganes Ferro;
set L := 1 2 3;
param Mares := 20;
param v :=
1 3
2 4
3 2;
param d :=
1 1
2 1
3 1
4 1
5 1
6 5
7 5
8 5
9 5
10 5;
param a :=
1 1
2 1
3 3
4 5
5 6
6 8
7 8
8 10
9 10
10 11;
param e :=
Bauxita 22
Alumina 24
Manganes 19
Ferro 20;
param ck :=
Bauxita 3
Alumina 3
Manganes 2
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	7	0	0	0
2	10	0	0	0
3	5	0	0	0
4	0	15	0	0
5	6	0	0	0
6	0	22	0	0
7	0	0	6	0
8	0	0	0	20
9	0	0	15	0
10	10	0	0	0;
end;
