data;
set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75;
set K := Bauxita Alumina Manganes Ferro;
set L := 1 2 3;
param Mares := 75;
param v :=
1 5
2 7
3 6;
param d :=
1 500
2 1000
3 500
4 1000
5 500
6 1000
7 500
8 1000
9 500
10 1000
11 500
12 1000
13 500
14 1000
15 500
16 1000
17 500
18 1000
19 500
20 1000
21 500
22 1000
23 500
24 1000
25 500
26 1000
27 500
28 1000
29 500
30 1000;
param a :=
1 1
2 3
3 3
4 5
5 7
6 7
7 8
8 8
9 10
10 11
11 11
12 12
13 12
14 14
15 16
16 17
17 17
18 18
19 19
20 19
21 21
22 23
23 24
24 26
25 28
26 28
27 28
28 30
29 30
30 31;
param e :=
Bauxita 25
Alumina 34
Manganes 44
Ferro 23;
param ck :=
Bauxita 2
Alumina 3
Manganes 3
Ferro 2;
param q : Bauxita Alumina Manganes Ferro :=
1	29	0	0	0
2	11	0	0	0
3	0	19	0	0
4	0	0	24	0
5	15	0	0	0
6	0	28	0	0
7	0	0	28	0
8	0	31	0	0
9	0	0	0	19
10	0	0	0	23
11	0	0	27	0
12	0	0	21	0
13	0	0	0	18
14	12	0	0	0
15	0	29	0	0
16	0	18	0	0
17	0	0	0	12
18	0	0	0	25
19	20	0	0	0
20	0	0	34	0
21	0	12	0	0
22	0	0	29	0
23	16	0	0	0
24	0	19	0	0
25	24	0	0	0
26	0	0	0	17
27	0	13	0	0
28	0	0	20	0
29	0	24	0	0
30	0	0	0	15;
end;
